match_id,season,start_time_utc,team1_id,team2_id,team1_name,team2_name,venue_id,venue_name,stage,team1_elo,team2_elo,bookmaker_prob_team2,elo_diff,batting_strength_diff,bowling_strength_diff,all_rounder_balance_diff,spin_strength_diff,pace_strength_diff,death_overs_strength_diff,team_recent_win_pct_diff,head_to_head_win_pct_diff,venue_win_bias_diff,rest_days_diff,recent_run_rate_diff,recent_wicket_margin_diff,probable_xi_count_diff,probable_xi_batting_form_diff,probable_xi_bowling_form_diff,probable_xi_runs_avg_diff,probable_xi_strike_rate_diff,probable_xi_boundary_pct_diff,probable_xi_experience_diff,top_order_strength_diff,middle_order_strength_diff,death_bowling_strength_diff,batting_vs_bowling_form_diff,top_order_vs_powerplay_diff,death_matchup_diff,bookmaker_prob_team1,bookmaker_prob_diff,bookmaker_market_confidence,team1_won_toss,team1_bats_first,team1_chasing_bias_edge,venue_chasing_bias,weather_temperature_c,weather_humidity_pct,weather_wind_kph,weather_rain_mm,winner_team_id,team1_won
603,2007,2008-04-26 00:00:00+00:00,2,125,Royal Challengers Bangalore,Rajasthan Royals,12,M Chinnaswamy Stadium,confirmed_xi,1500.28774368332,1509.44950530889,0.5,-9.161761625569852,-43.17746757575756,5.991459999999998,0.0,0.0,0.0,21.579349999999998,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-28.03240000000001,1.9943,-42.47659999999999,-9.56975959595961,-0.018550505050505053,-3.0,-50.7107,-0.13269999999999627,21.579349999999998,-37.18600757575754,-48.314116,21.350952404040406,0.5,0.0,0.0,-1.0,1.0,0.5,-0.5,,,,,125,0
604,2007,2008-04-26 00:00:00+00:00,120,6,Chennai Super Kings,Kolkata Knight Riders,600,"MA Chidambaram Stadium, Chepauk",confirmed_xi,1519.4167345713752,1519.71225631668,0.5,-0.29552174530476805,-35.8653575,-27.419769999999996,-3.0,0.0,0.0,-34.548125,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-19.397400000000005,-18.327299999999997,-49.24719999999999,13.809219318181825,0.051237500000000005,-4.0,52.486999999999995,-19.3778,-34.548125,-63.2851275,41.51909199999999,-53.78783280681818,0.5,0.0,0.0,-1.0,-1.0,-0.5,-0.5,,,,,120,1
605,2007,2008-04-27 00:00:00+00:00,4,1194,Mumbai Indians,Deccan Chargers,605,Dr DY Patil Sports Academy,confirmed_xi,1470.2870159477886,1471.4049947153,0.5,-1.1179787675114312,94.4156725,1.9779099999999978,4.0,0.0,0.0,8.902375,0.0,0.0,0.0,0.0,0.0,0.0,3.0,59.7191,0.018199999999999328,96.87609999999998,29.605098863636364,0.0526625,8.0,-12.222100000000001,47.056700000000006,8.902375,96.39358250000001,-11.430936,56.255125988636365,0.5,0.0,0.0,-1.0,1.0,-0.0,0.0,,,,,1194,0
606,2007,2008-04-27 00:00:00+00:00,7,10,Kings XI Punjab,Delhi Daredevils,594,"Punjab Cricket Association Stadium, Mohali",confirmed_xi,1490.0085057975161,1519.43324365913,0.5,-29.42473786161395,48.112490454545494,-11.738200000000003,6.0,0.0,0.0,-20.265749999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.583200000000005,-6.7964,39.58070000000001,79.2724090909091,0.11173636363636365,11.0,48.1433,40.1537,-20.265749999999997,36.37429045454549,43.44802,20.680674090909086,0.5,0.0,0.0,-1.0,-1.0,-0.5,-0.5,,,,,7,1
607,2007,2008-04-28 00:00:00+00:00,2,120,Royal Challengers Bangalore,Chennai Super Kings,12,M Chinnaswamy Stadium,confirmed_xi,1490.5513792757909,1529.4252403688913,0.5,-38.87386109310046,-79.57821954545453,1.328789999999998,3.0,0.0,0.0,11.898775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-48.75449999999999,-0.3852999999999991,-87.05789999999998,-8.864601818181825,-0.02356363636363633,-2.0,17.164,1.2469000000000037,11.898775,-78.24942954545455,17.695515999999998,13.057028981818185,0.5,0.0,0.0,-1.0,-1.0,0.0,0.0,,,,,120,0
608,2007,2008-04-29 00:00:00+00:00,6,4,Kolkata Knight Riders,Mumbai Indians,11,Eden Gardens,confirmed_xi,1509.7037505191638,1460.319193852284,0.5,49.38455666687992,28.130310909090923,13.449320000000002,2.0,0.0,0.0,15.480950000000007,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.658,8.8853,29.919200000000004,30.57716666666665,3.939393939392244e-05,5.0,-14.757100000000001,11.3918,15.480950000000007,41.57963090909092,-9.377372,27.17852166666668,0.5,0.0,0.0,1.0,1.0,-0.5,0.5,,,,,4,0
609,2007,2008-04-30 00:00:00+00:00,10,2,Delhi Daredevils,Royal Challengers Bangalore,15,Feroz Shah Kotla,confirmed_xi,1508.58835068573,1481.6656131478833,0.5,26.922737537846615,26.488650000000007,6.7283900000000045,-3.0,0.0,0.0,12.442425000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.030100000000004,2.874100000000002,34.893,-5.871981818181823,0.016399999999999998,-12.0,-37.134,-1.0039999999999907,12.442425000000014,33.21704000000001,-34.442644,11.37970518181821,0.5,0.0,0.0,-1.0,1.0,-0.5,0.5,,,,,10,1
610,2007,2008-05-01 00:00:00+00:00,1194,7,Deccan Chargers,Kings XI Punjab,1,"Rajiv Gandhi International Stadium, Uppal",confirmed_xi,1481.3728168108048,1500.8533987709163,0.5,-19.48058196011152,-0.5261100000000312,-4.1743599999999965,-2.0,0.0,0.0,-4.174099999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.792100000000019,-3.2736,11.485399999999998,-22.73822,-0.05025999999999996,0.0,-47.884,17.348599999999998,-4.174099999999989,-4.700470000000024,-49.553743999999995,12.947117800000008,0.5,0.0,0.0,-1.0,1.0,-0.5,0.5,,,,,7,0
611,2007,2008-05-01 00:00:00+00:00,125,6,Rajasthan Royals,Kolkata Knight Riders,65,Sawai Mansingh Stadium,confirmed_xi,1519.1858697164191,1498.2918445725704,0.5,20.894025143848694,68.07056136363634,-0.15031999999999712,-1.0,0.0,0.0,-5.337800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7325,0.4635000000000007,67.62549999999999,18.746754545454564,0.04460909090909089,5.0,-26.7953,15.741599999999998,-5.337800000000001,67.92024136363635,-26.855427999999996,10.591267545454542,0.5,0.0,0.0,1.0,1.0,-0.5,0.5,,,,,125,1
612,2007,2008-05-02 00:00:00+00:00,120,10,Chennai Super Kings,Delhi Daredevils,600,"MA Chidambaram Stadium, Chepauk",confirmed_xi,1538.3110064967989,1517.8149992990673,0.5,20.496007197731615,-20.42218772727273,2.2436299999999996,-4.0,0.0,0.0,26.724724999999992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-12.8643,-3.1311,-20.934900000000013,-21.228838181818176,-0.015378181818181805,-3.0,-34.0782,-13.924200000000006,26.724724999999992,-18.178557727272732,-33.180748,12.58823661818181,0.5,0.0,0.0,1.0,1.0,-0.0,0.0,,,,,10,0
614,2007,2008-05-03 00:00:00+00:00,7,6,Kings XI Punjab,Kolkata Knight Riders,594,"Punjab Cricket Association Stadium, Mohali",confirmed_xi,1510.293289385397,1488.8924990315668,0.5,21.40079035383019,120.3338045454545,-3.178910000000002,-1.0,0.0,0.0,-4.561174999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.97529999999999,-2.144000000000002,119.11300000000001,31.085000000000022,0.11126363636363637,-1.0,-21.0803,15.3094,-4.561174999999999,117.15489454545448,-22.351864,11.059075,0.5,0.0,0.0,1.0,1.0,0.16666666666666669,-0.16666666666666669,,,,,7,1
644,2007,2008-05-03 00:00:00+00:00,2,1194,Royal Challengers Bangalore,Deccan Chargers,12,M Chinnaswamy Stadium,confirmed_xi,1472.438964534546,1471.9329261963242,0.5,0.5060383382217424,-29.582173181818206,-1.0327800000000025,1.0,0.0,0.0,-13.085950000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.94890000000001,1.2635999999999985,-29.281299999999987,-13.378390909090896,-0.025654545454545458,1.0,-15.0971,-23.5321,-13.085950000000004,-30.61495318181821,-15.510212,-36.75183390909091,0.5,0.0,0.0,-1.0,1.0,0.16666666666666669,-0.16666666666666669,,,,,2,1
615,2007,2008-05-04 00:00:00+00:00,4,10,Mumbai Indians,Delhi Daredevils,605,Dr DY Patil Sports Academy,confirmed_xi,1471.7310997988773,1528.4042384313739,0.5,-56.6731386324966,-22.254503636363637,-1.3491199999999992,2.0,0.0,0.0,4.7710500000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.011099999999999,-1.4815999999999994,-23.544399999999968,-18.083209090909108,-0.0001909090909090888,-5.0,-21.520000000000003,-4.027099999999997,4.7710500000000025,-23.603623636363636,-22.059648,0.56311790909092,0.5,0.0,0.0,-1.0,1.0,-0.5,0.5,,,,,4,1
616,2007,2008-05-04 00:00:00+00:00,125,120,Rajasthan Royals,Chennai Super Kings,65,Sawai Mansingh Stadium,confirmed_xi,1528.5852152574228,1527.7217673644923,0.5,0.8634478929304805,-4.137945454545445,-0.21577999999999875,4.0,0.0,0.0,-35.30575,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.9498000000000104,5.716900000000001,-6.7409999999999854,17.551342045454533,0.011413636363636348,-5.0,81.4252,-23.1233,-35.30575,-4.35372545454544,81.338888,-58.25353657954546,0.5,0.0,0.0,-1.0,-1.0,0.0,0.0,,,,,125,1
617,2007,2008-05-05 00:00:00+00:00,2,7,Royal Challengers Bangalore,Kings XI Punjab,12,M Chinnaswamy Stadium,confirmed_xi,1482.4243995906693,1519.678102958399,0.5,-37.25370336772971,-70.01944454545452,-1.33906,0.0,0.0,0.0,2.925550000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-47.482299999999995,-1.0414000000000012,-58.98440000000001,-45.98833454545452,-0.12617363636363638,-1.0,-54.3126,-20.894200000000005,2.925550000000001,-71.35850454545451,-54.848224,-18.42853334545455,0.5,0.0,0.0,-1.0,1.0,0.25,-0.25,,,,,7,0
